accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2016-01-06,23:43:43,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-03-27,01:31:31,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-10,20:56:56,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2016-02-20,12:06:06,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-08-27,04:17:17,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-09,00:54:54,ศรีรัช,ปกติ,2,1,0,0,ขับรถเร็วเกินไป
2016-04-21,05:10:10,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-05-15,10:32:32,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-18,22:15:15,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-05-18,03:30:30,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-12-08,22:25:25,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2016-07-25,02:45:45,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-12-26,05:00:00,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-09-04,05:09:09,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2016-09-12,00:10:10,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-03-23,23:19:19,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-09-30,17:18:18,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-06-17,01:50:50,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-01-29,17:40:40,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-12-05,00:04:04,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-02-06,06:21:21,ศรีรัช,ปกติ,1,1,0,0,ขับรถเร็วเกินไป
2016-06-08,03:00:00,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
